序号	汉字	级别	GB/T 13000	GB 18030
868	沟	1	6C9F	B9B5
869	沪	1	6CAA	BBA6
870	沈	1	6C88	C9F2
871	沉	1	6C89	B3C1
872	沁	1	6C81	C7DF
873	怀	1	6000	BBB3
874	忧	1	5FE7	D3C7
875	忱	1	5FF1	B3C0
876	快	1	5FEB	BFEC
877	完	1	5B8C	CDEA
878	宋	1	5B8B	CBCE
879	宏	1	5B8F	BAEA
880	牢	1	7262	C0CE
881	究	1	7A76	BEBF
882	穷	1	7A77	C7EE
883	灾	1	707E	D4D6
884	良	1	826F	C1BC
885	证	1	8BC1	D6A4
886	启	1	542F	C6F4
887	评	1	8BC4	C6C0
888	补	1	8865	B2B9
889	初	1	521D	B3F5
890	社	1	793E	C9E7
891	祀	1	7940	ECEB
892	识	1	8BC6	CAB6
893	诈	1	8BC8	D5A9
894	诉	1	8BC9	CBDF
895	罕	1	7F55	BAB1
896	诊	1	8BCA	D5EF
897	词	1	8BCD	B4CA
898	译	1	8BD1	D2EB
899	君	1	541B	BEFD
900	灵	1	7075	C1E9
